end_date,id,instructions,is_full,start_date
2020-07-27 18:30:00,1553820,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-07-27 17:30:00
2020-08-03 19:00:00,1553821,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-03 18:00:00
2020-08-10 18:30:00,1553822,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-10 17:30:00
2020-08-17 18:30:00,1553823,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-17 17:30:00
2020-08-24 18:30:00,1553824,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-24 17:30:00
2020-08-31 21:00:00,1553825,"This is a virtual training via Google Meet: 

Please join the video meeting Monday at 1:30PM ET. Just, click this link: https://meet.google.com/ctv-gbrd-zfr",False,2020-08-31 20:00:00
2020-08-01 18:00:00,1791119,,False,2020-08-01 17:00:00
2020-03-26 01:00:00,1403451,,False,2020-03-26 00:00:00
2020-03-29 22:30:00,1407892,,False,2020-03-29 19:30:00
2020-03-30 00:00:00,1413261,,False,2020-03-29 14:00:00
2020-03-31 00:00:00,1413262,,False,2020-03-30 14:00:00
2020-04-01 00:00:00,1413263,,False,2020-03-31 14:00:00
2020-04-05 00:00:00,1413267,,False,2020-04-04 14:00:00
2020-04-02 00:00:00,1413264,,False,2020-04-01 14:00:00
2020-04-04 00:00:00,1413266,,False,2020-04-03 14:00:00
2020-04-03 00:00:00,1413265,,False,2020-04-02 14:00:00
2020-04-07 00:00:00,1413269,,False,2020-04-06 14:00:00
2020-04-06 00:00:00,1413268,,False,2020-04-05 14:00:00
2020-04-15 00:00:00,1413277,,False,2020-04-14 14:00:00
2020-04-09 00:00:00,1413271,,False,2020-04-08 14:00:00
2020-04-22 00:00:00,1413284,,False,2020-04-21 14:00:00
2020-04-10 00:00:00,1413272,,False,2020-04-09 14:00:00
2020-04-08 00:00:00,1413270,,False,2020-04-07 14:00:00
2020-04-14 00:00:00,1413276,,False,2020-04-13 14:00:00
2020-04-11 00:00:00,1413273,,False,2020-04-10 14:00:00
2020-04-12 00:00:00,1413274,,False,2020-04-11 14:00:00
2020-04-16 00:00:00,1413278,,False,2020-04-15 14:00:00
2020-04-17 00:00:00,1413279,,False,2020-04-16 14:00:00
2020-04-18 00:00:00,1413280,,False,2020-04-17 14:00:00
2020-04-19 00:00:00,1413281,,False,2020-04-18 14:00:00
2020-04-21 00:00:00,1413283,,False,2020-04-20 14:00:00
2020-04-23 00:00:00,1413285,,False,2020-04-22 14:00:00
2020-04-25 00:00:00,1413287,,False,2020-04-24 14:00:00
2020-04-27 00:00:00,1413289,,False,2020-04-26 14:00:00
2020-04-28 00:00:00,1413290,,False,2020-04-27 14:00:00
2020-04-30 00:00:00,1413292,,False,2020-04-29 14:00:00
2020-05-01 00:00:00,1413293,,False,2020-04-30 14:00:00
2020-04-03 00:00:00,1418528,,False,2020-04-02 23:00:00
2020-05-08 00:00:00,1421679,,False,2020-05-07 23:00:00
